nome,categoria,preco
Smartphone Galaxy S25,Smartphones,8050.90
Notebook Lenovo IdeaPad 3,Notebooks,2799.00
Smart TV LG 50",TVs,2299.99
Fone de Ouvido JBL,Fones,299.99
Monitor Samsung 24",Monitores,899.90
Impressora HP DeskJet,Impressoras,349.00
Caixa de Som Bluetooth,Áudio,199.50
Mouse Logitech Wireless,Periféricos,129.00
Teclado Mecânico Redragon,Periféricos,239.90
Tablet Samsung Tab A8,Tablets,1299.00
Smartwatch Amazfit Bip U,Smartwatches,399.90
Roteador TP-Link Archer C6,Redes,219.00
Webcam Logitech C920,Periféricos,499.00
Console PlayStation 5,Consoles,4499.00
Controle Xbox Series,Periféricos,379.00
Headset Gamer HyperX Cloud,Fones,499.90
HD Externo Seagate 2TB,Armazenamento,459.00
Placa de Vídeo RTX 5090 ROG Astral,Componentes,29.999.99
Carregador Portátil Xiaomi,Baterias,149.90
Projetor Multilaser PJ003,Projetores,899.00

